X	sample	mouse	group	cre	division	type	include	cells	spikeinDilution	spikeinVolume	bamFile	unmapped.reads	mapped.reads	unique.reads	paired.reads	timeTaken
25	m2015_D5	2015	WT_div5	neg	div5	WT	TRUE	1000	20000	3	m2015_D5.sort.dupMark.bam	5095444	66910800	39445523	39445523	4.067639527
26	m2015_D8neg	2015	WT_div8neg	neg	div8neg	WT	FALSE	1000	2000	3	m2015_D8neg.sort.dupMark.bam	5105846	68679984	44647466	44647466	4.016092598
27	m2015_D8pos	2015	WT_div8pos	neg	div8pos	WT	TRUE	1000	20000	3	m2015_D8pos.sort.dupMark.bam	5404840	68646770	41377343	41377343	3.893104168
28	m2016_D0	2016	WT_div0	neg	div0	WT	FALSE	660	400000	3	m2016_D0.sort.dupMark.bam	3729455	53917895	35906232	35906232	2.985940435
29	m2016_D1	2016	WT_div1	neg	div1	WT	FALSE	1000	100000	3	m2016_D1.sort.dupMark.bam	4573914	66586596	35916690	35916690	3.82946734
30	m2016_D3	2016	WT_div3	neg	div3	WT	TRUE	1000	20000	3	m2016_D3.sort.dupMark.bam	4011374	61675164	37398184	37398184	3.490288885
31	m2016_D5	2016	WT_div5	neg	div5	WT	TRUE	1000	20000	3	m2016_D5.sort.dupMark.bam	3630019	56055337	32735019	32735019	2.961605992
32	m2016_D8neg	2016	WT_div8neg	neg	div8neg	WT	TRUE	1000	20000	3	m2016_D8neg.sort.dupMark.bam	4127773	58319411	33606366	33606366	3.187462626
33	m2016_D8pos	2016	WT_div8pos	neg	div8pos	WT	TRUE	1000	20000	3	m2016_D8pos.sort.dupMark.bam	4349568	54729818	31860200	31860200	3.105479199
34	m2037_D0	2037	KO_div0	pos	div0	KO	FALSE	996	200000	3	m2037_D0.sort.dupMark.bam	3406643	50534673	29545681	29545681	3.047079796
35	m2037_D1	2037	KO_div1	pos	div1	KO	TRUE	1000	20000	3	m2037_D1.sort.dupMark.bam	4335767	65821835	35607971	35607971	3.820767398
36	m2037_D3	2037	KO_div3	pos	div3	KO	TRUE	1000	20000	3	m2037_D3.sort.dupMark.bam	4493311	64876145	35599623	35599623	3.772210226
37	m2037_D5	2037	KO_div5	pos	div5	KO	TRUE	1000	20000	3	m2037_D5.sort.dupMark.bam	3636272	59458678	39968609	39968609	3.306299481
38	m2037_D8neg	2037	KO_div8neg	pos	div8neg	KO	TRUE	1000	20000	3	m2037_D8neg.sort.dupMark.bam	2119808	31539428	23030226	23030226	1.864407001
